Tillage;site_no;site;date;Equipment
Tillage;2;Reutershof;1999-08-20;autumn ploughing
Tillage;4;Hamersleben;2000-04-07;grubber
Tillage;5;Wörbzig;1999-09-24;grubber
Tillage;5;Wörbzig;2000-04-03;Cambridge roller
Tillage;6;Harste;1999-11-03;autumn ploughing
Tillage;6;Harste;2000-04-08;seedbed combination
Tillage;7;Friemar;2000-04-05;seedbed combination
Tillage;8;Kelz;2000-01-01;spring ploughing
Tillage;8;Kelz;2000-04-07;grubber
Tillage;8;Kelz;2000-04-08;rotary harrow/seedbed combination
Tillage;10;Euerhausen;2000-03-24;seedbed combination
Tillage;11;Plattling;2000-04-10;seedbed combination
Tillage;1;Kannemoor;2001-04-22;seedbed combination (2x)
Tillage;2;Reutershof;2001-04-05;mulch seeding
Tillage;3;Suderburg;2001-03-26;spring ploughing
Tillage;4;Hamersleben;2000-10-30;autumn ploughing
Tillage;5;Wörbzig;2000-10-28;autumn ploughing
Tillage;5;Wörbzig;2001-04-12;seedbed combination
Tillage;6;Harste;2000-10-25;autumn ploughing
Tillage;6;Harste;2001-04-23;seedbed combination
Tillage;7;Friemar;2001-04-04;seedbed combination
Tillage;8;Kelz;2000-12-01;autumn ploughing
Tillage;8;Kelz;2001-04-13;grubber
Tillage;8;Kelz;2001-04-14;rotary harrow/seedbed combination
Tillage;9;Heuchelheim;2001-04-05;rotary harrow
Tillage;10;Euerhausen;2000-10-01;autumn ploughing
Tillage;10;Euerhausen;2001-04-02;seedbed combination
Tillage;11;Plattling;2001-04-25;seedbed combination
