year;site_no;Trial;site;irrigation;precrop;intercrop;soil_mineral_N;Unit_soil_mineral_N;depth;Unit_depth;pH;Unit_pH;remark
2000;1;1_1;Kannemoor;no;winter wheat;NA;63;kg/ha;90;cm;7.4;unitless;
2000;2;2_1;Reutershof;no;winter barley;phacelia;46;kg/ha;60;cm;6.6;unitless;
2000;3;3_1;Suderburg;no;winter barley;oil radish;42;kg/ha;90;cm;5.6;unitless;
2000;3;3_2;Suderburg;yes;winter barley;oil radish;42;kg/ha;90;cm;5.6;unitless;
2000;4;4_1;Hamersleben;no;winter wheat;NA;105;kg/ha;90;cm;7.1;unitless;sugar beet heavily infested with Cercospora beticola
2000;5;5_1;Wörbzig;no;winter barley;NA;74;kg/ha;60;cm;7;unitless;
2000;5;5_2;Wörbzig;yes;winter barley;NA;74;kg/ha;60;cm;7;unitless;
2000;6;6_1;Harste;no;winter wheat;NA;44;kg/ha;90;cm;6.7;unitless;
2000;7;7_1;Friemar;no;winter wheat;NA;110;kg/ha;30;cm;NA;unitless;
2000;8;8_1;Kelz;no;winter barley;NA;NA;;NA;;6.9;unitless;
2000;9;9_1;Heuchelheim;no;winter wheat;NA;58.5;kg/ha;30;cm;NA;unitless;
2000;10;10_1;Euerhausen;no;winter wheat;NA;11.7;kg/ha;30;cm;NA;unitless;
2000;11;11_1;Plattling;no;winter wheat;NA;23.4;kg/ha;30;cm;NA;unitless;
2001;1;1_2;Kannemoor;no;winter wheat;NA;NA;;NA;;7.5;unitless;
2001;2;2_2;Reutershof;no;winter wheat;NA;176;kg/ha;60;cm;6.8;unitless;
2001;3;3_3;Suderburg;no;winter barley;unspecified cover crop;33;kg/ha;90;cm;5.8;unitless;
2001;3;3_4;Suderburg;yes;winter barley;unspecified cover crop;33;kg/ha;90;cm;5.8;unitless;
2001;4;4_2;Hamersleben;no;winter wheat;NA;79;kg/ha;90;cm;7.5;unitless;sugar beet heavily infested with Cercospora beticola
2001;5;5_3;Wörbzig;no;winter wheat;NA;60;kg/ha;60;cm;7;unitless;
2001;5;5_4;Wörbzig;yes;winter wheat;NA;60;kg/ha;60;cm;7;unitless;
2001;6;6_2;Harste;no;winter barley;NA;80;kg/ha;90;cm;6.9;unitless;
2001;7;7_2;Friemar;no;spring barley;NA;70;kg/ha;30;cm;NA;unitless;
2001;8;8_2;Kelz;no;winter barley;NA;96.5;kg/ha;90;cm;7;unitless;
2001;9;9_2;Heuchelheim;no;winter wheat;NA;23.4;kg/ha;30;cm;NA;unitless;
2001;9;9_3;Heuchelheim;yes;winter wheat;NA;23.4;kg/ha;30;cm;NA;unitless;
2001;10;10_2;Euerhausen;no;silage maize;NA;50.7;kg/ha;30;cm;NA;unitless;
2001;11;11_3;Plattling;no;winter wheat;NA;54.6;kg/ha;30;cm;6.9;unitless;
