site_no;site;variety;date;measure_implemented;Unit_measure_implemented;sowing_density;Unit_sowing_density;rate_emergence;Unit_rate_emergence;beet_rows;remark
1;Kannemoor;Aries;2000-04-05;NA;seeds/ha;111111;seeds/ha;0;%;0;
1;Kannemoor;Aries;2000-04-21;111111;seeds/ha;NA;seeds/ha;37.4;%;36;
1;Kannemoor;Aries;2000-04-28;111111;seeds/ha;NA;seeds/ha;70.7;%;36;
1;Kannemoor;Aries;2000-05-13;111111;seeds/ha;NA;seeds/ha;83.5;%;36;
2;Reutershof;Manhattan;2000-03-23;NA;seeds/ha;123456;seeds/ha;0;%;0;
2;Reutershof;Manhattan;2000-04-20;123456;seeds/ha;NA;seeds/ha;79.5;%;NA;
3;Suderburg;Avalon;2000-04-07;NA;seeds/ha;101010;seeds/ha;0;%;0;
3;Suderburg;Avalon;2000-04-23;101010;seeds/ha;NA;seeds/ha;82;%;NA;
3;Suderburg;Avalon;2000-05-07;101010;seeds/ha;NA;seeds/ha;83.7;%;NA;
4;Hamersleben;Reka;2000-04-07;NA;seeds/ha;111111;seeds/ha;0;%;0;
4;Hamersleben;Reka;2000-04-24;111111;seeds/ha;NA;seeds/ha;83.0;%;10;
4;Hamersleben;Reka;2000-04-25;111111;seeds/ha;NA;seeds/ha;85.6;%;10;
4;Hamersleben;Reka;2000-04-26;111111;seeds/ha;NA;seeds/ha;88.0;%;10;
5;Wörbzig;Penta;2000-04-09;NA;seeds/ha;117000;seeds/ha;0;%;0;
5;Wörbzig;Penta;2000-05-04;117000;seeds/ha;NA;seeds/ha;80.8;%;NA;
6;Harste;Corinna;2000-04-09;NA;seeds/ha;288600;seeds/ha;0;%;0;
6;Harste;Corinna;2000-04-25;288600;seeds/ha;NA;seeds/ha;81.4;%;10;
6;Harste;Corinna;2000-04-26;288600;seeds/ha;NA;seeds/ha;88.5;%;10;
6;Harste;Corinna;2000-04-28;288600;seeds/ha;NA;seeds/ha;95.3;%;10;manual thinning to 97000 plants after crop establishment
7;Friemar;Granada;2000-04-07;NA;seeds/ha;116959;seeds/ha;0;%;0;
7;Friemar;Granada;2000-04-27;116959;seeds/ha;NA;seeds/ha;85;%;NA;
8;Kelz;Tatjana;2000-04-08;NA;seeds/ha;105899;seeds/ha;0;%;0;
8;Kelz;Tatjana;2000-04-20;105899;seeds/ha;NA;seeds/ha;20.7;%;21;
8;Kelz;Tatjana;2000-04-21;105899;seeds/ha;NA;seeds/ha;57.9;%;21;
8;Kelz;Tatjana;2000-04-22;105899;seeds/ha;NA;seeds/ha;77.0;%;21;
8;Kelz;Tatjana;2000-06-19;105899;seeds/ha;NA;seeds/ha;90.6;%;21;
9;Heuchelheim;Tatjana;2000-03-20;NA;seeds/ha;108108;seeds/ha;NA;%;NA;no count was made
10;Euerhausen;Corinna;2000-03-21;NA;seeds/ha;98522;seeds/ha;0;%;0;
