Observation;site_no;Trial;site;irrigation;rep_id;rep;date;dps;soil_moisture_30;Unit_soil_moisture_30;soil_moisture_60;Unit_soil_moisture_60;soil_moisture_90;Unit_soil_moisture_90;PAW_30;Unit_PAW_30;PAW_60;Unit_PAW_60;PAW_90;Unit_PAW_90;root_yield;Unit_root_yield;root_dry_matter;Unit_root_dry_matter;leaf_yield;Unit_leaf_yield;leaf_dry_matter;Unit_leaf_dry_matter;LAI;n;sugar;Unit_sugar;K;Unit_K;Na;Unit_Na;amino_N;Unit_amino_N;soluble_Nt;Unit_soluble_Nt;NO3;Unit_NO3;betaine;Unit_betaine;invert_sugar;Unit_invert_sugar;marc;Unit_marc
Observation;1;1_1;Kannemoor;no;85201;1;2000-06-13;69;24.78;%;25.01;%;26.75;%;NA;mm;NA;mm;NA;mm;3.83;t/ha;14.36;%;16.5;t/ha;9.72;%;2.04;88;7.61;%;110.35;mmol/kg;14.1;mmol/kg;32.44;mmol/kg;117.01;mmol/kg;34.41;mmol/kg;19.41;mmol/kg;29.12;mmol/kg;4.13;%
Observation;1;1_1;Kannemoor;no;85210;2;2000-06-13;69;25.47;%;24.3;%;30.99;%;NA;mm;NA;mm;NA;mm;3.875;t/ha;14.96;%;14.2;t/ha;9.41;%;2;86;7.84;%;110.6;mmol/kg;12.15;mmol/kg;32.49;mmol/kg;114.67;mmol/kg;30.01;mmol/kg;18.95;mmol/kg;28.87;mmol/kg;4.6;%
Observation;1;1_1;Kannemoor;no;85214;3;2000-06-13;69;24.72;%;24.57;%;28.33;%;NA;mm;NA;mm;NA;mm;3.27;t/ha;14.41;%;16.5;t/ha;9.37;%;1.97;77;7.64;%;105.65;mmol/kg;12.85;mmol/kg;31.65;mmol/kg;117.93;mmol/kg;32.87;mmol/kg;17.8;mmol/kg;30.54;mmol/kg;4.17;%
Observation;1;1_1;Kannemoor;no;85223;4;2000-06-13;69;23.16;%;22.94;%;25.79;%;NA;mm;NA;mm;NA;mm;3.475;t/ha;14.99;%;15;t/ha;9.28;%;1.93;86;7.98;%;109.1;mmol/kg;11.7;mmol/kg;31.42;mmol/kg;114.9;mmol/kg;28.7;mmol/kg;18.76;mmol/kg;33.05;mmol/kg;4.4;%
Observation;1;1_1;Kannemoor;no;85202;1;2000-07-10;96;20.57;%;20.49;%;26.79;%;NA;mm;NA;mm;NA;mm;27.35;t/ha;17.37;%;53.7;t/ha;10.43;%;4.81;78;11.92;%;72.3;mmol/kg;9.9;mmol/kg;15.14;mmol/kg;67.2;mmol/kg;15.17;mmol/kg;13.95;mmol/kg;10.86;mmol/kg;3.45;%
Observation;1;1_1;Kannemoor;no;85212;2;2000-07-10;96;19.59;%;23.7;%;28.52;%;NA;mm;NA;mm;NA;mm;28.35;t/ha;17.95;%;49.9;t/ha;11.14;%;4.39;86;12.06;%;71.2;mmol/kg;6.05;mmol/kg;13.59;mmol/kg;60.99;mmol/kg;10.15;mmol/kg;15.5;mmol/kg;11.29;mmol/kg;4.11;%
Observation;1;1_1;Kannemoor;no;85216;3;2000-07-10;96;20.25;%;20.89;%;30.43;%;NA;mm;NA;mm;NA;mm;26.7;t/ha;17.77;%;45.5;t/ha;11.22;%;4.88;86;12.06;%;69.15;mmol/kg;6.7;mmol/kg;12.97;mmol/kg;59.34;mmol/kg;9.39;mmol/kg;17.25;mmol/kg;10.15;mmol/kg;3.74;%
Observation;1;1_1;Kannemoor;no;85221;4;2000-07-10;96;22.9;%;23.6;%;24.95;%;NA;mm;NA;mm;NA;mm;27.65;t/ha;17.42;%;47.2;t/ha;10.36;%;4.49;80;11.78;%;73.1;mmol/kg;7.3;mmol/kg;15.8;mmol/kg;67.75;mmol/kg;13.41;mmol/kg;17.45;mmol/kg;10.31;mmol/kg;3.71;%
Observation;1;1_1;Kannemoor;no;85203;1;2000-08-07;124;20.43;%;19.66;%;25.8;%;NA;mm;NA;mm;NA;mm;50.45;t/ha;19.89;%;65.1;t/ha;11.49;%;4.97;74;14.44;%;55.7;mmol/kg;4.3;mmol/kg;10.98;mmol/kg;50.89;mmol/kg;3.43;mmol/kg;15.35;mmol/kg;8.86;mmol/kg;3.79;%
Observation;1;1_1;Kannemoor;no;85211;2;2000-08-07;124;17.67;%;19.33;%;21.96;%;NA;mm;NA;mm;NA;mm;48.3;t/ha;20.2;%;61.1;t/ha;11.63;%;4.75;76;14.8;%;54.9;mmol/kg;3.35;mmol/kg;7.61;mmol/kg;40.4;mmol/kg;1.72;mmol/kg;19;mmol/kg;8.34;mmol/kg;3.82;%
Observation;1;1_1;Kannemoor;no;85218;3;2000-08-07;124;19.32;%;20.14;%;21.64;%;NA;mm;NA;mm;NA;mm;52.2;t/ha;20.45;%;70.6;t/ha;11.28;%;4.46;83;15.01;%;55.6;mmol/kg;3.15;mmol/kg;9.56;mmol/kg;46.96;mmol/kg;2.41;mmol/kg;15.3;mmol/kg;8.36;mmol/kg;3.99;%
Observation;1;1_1;Kannemoor;no;85219;4;2000-08-07;124;18.67;%;22.54;%;22.24;%;NA;mm;NA;mm;NA;mm;49.6;t/ha;19.74;%;61.3;t/ha;11.07;%;4.25;63;14.41;%;55.15;mmol/kg;6.1;mmol/kg;9.16;mmol/kg;45.09;mmol/kg;2.51;mmol/kg;13.85;mmol/kg;7.53;mmol/kg;3.7;%
Observation;1;1_1;Kannemoor;no;85204;1;2000-09-04;152;18.61;%;18.91;%;18.92;%;NA;mm;NA;mm;NA;mm;74.85;t/ha;23.24;%;63.65;t/ha;12.97;%;4.72;80;17.6;%;56.25;mmol/kg;2.75;mmol/kg;10.76;mmol/kg;45.75;mmol/kg;1.66;mmol/kg;18.8;mmol/kg;5.15;mmol/kg;4.13;%
Observation;1;1_1;Kannemoor;no;85207;2;2000-09-04;152;20.65;%;19.36;%;20.71;%;NA;mm;NA;mm;NA;mm;74.6;t/ha;22.94;%;65.2;t/ha;12.16;%;5.24;79;17.33;%;50.3;mmol/kg;2.9;mmol/kg;10.36;mmol/kg;43.46;mmol/kg;1.07;mmol/kg;14.55;mmol/kg;4.64;mmol/kg;4.15;%
Observation;1;1_1;Kannemoor;no;85215;3;2000-09-04;152;19.16;%;17.91;%;17.47;%;NA;mm;NA;mm;NA;mm;75.9;t/ha;22.46;%;73.6;t/ha;12.88;%;6.12;83;17.02;%;49.75;mmol/kg;3.05;mmol/kg;12.22;mmol/kg;47.84;mmol/kg;1.81;mmol/kg;15.3;mmol/kg;5.44;mmol/kg;3.95;%
