Weather_recording;site_no;site;date;dps;min_temp;Unit_min_temp;max_temp;Unit_max_temp;av_temp;Unit_av_temp;precipitation;Unit_precipitation;glob_radiation;Unit_glob_radiation ;ET_grass;Unit_ET_grass
Weather_recording;1;Kannemoor;2000-04-05;0;0.0;°C;6.0;°C;NA;°C;0.0;mm;15.7;MJ/m²;1.8;mm
Weather_recording;1;Kannemoor;2000-04-06;1;0.0;°C;10.0;°C;NA;°C;0.0;mm;14.0;MJ/m²;1.2;mm
Weather_recording;1;Kannemoor;2000-04-07;2;2.0;°C;10.0;°C;NA;°C;0.0;mm;7.1;MJ/m²;0.5;mm
Weather_recording;1;Kannemoor;2000-04-08;3;1.0;°C;13.0;°C;NA;°C;0.0;mm;8.2;MJ/m²;1.5;mm
Weather_recording;1;Kannemoor;2000-04-09;4;0.0;°C;11.0;°C;NA;°C;0.0;mm;18.4;MJ/m²;2.3;mm
Weather_recording;1;Kannemoor;2000-04-10;5;0.0;°C;10.0;°C;NA;°C;0.0;mm;16.6;MJ/m²;1.8;mm
Weather_recording;1;Kannemoor;2000-04-11;6;2.0;°C;9.0;°C;NA;°C;0.0;mm;13.0;MJ/m²;2.4;mm
Weather_recording;1;Kannemoor;2000-04-12;7;0.0;°C;10.0;°C;NA;°C;8.0;mm;3.1;MJ/m²;0.3;mm
Weather_recording;1;Kannemoor;2000-04-13;8;5.0;°C;8.0;°C;NA;°C;4.0;mm;11.9;MJ/m²;1.6;mm
Weather_recording;1;Kannemoor;2000-04-14;9;4.0;°C;12.0;°C;NA;°C;2.0;mm;14.3;MJ/m²;1.4;mm
Weather_recording;1;Kannemoor;2000-04-15;10;7.0;°C;12.0;°C;NA;°C;1.0;mm;5.6;MJ/m²;1.0;mm
Weather_recording;1;Kannemoor;2000-04-16;11;2.0;°C;10.0;°C;NA;°C;0.0;mm;6.3;MJ/m²;1.2;mm
Weather_recording;1;Kannemoor;2000-04-17;12;6.0;°C;15.0;°C;NA;°C;0.0;mm;6.8;MJ/m²;1.1;mm
Weather_recording;1;Kannemoor;2000-04-18;13;9.0;°C;18.0;°C;NA;°C;1.0;mm;12.1;MJ/m²;2.3;mm
Weather_recording;1;Kannemoor;2000-04-19;14;6.0;°C;11.0;°C;NA;°C;10.0;mm;3.4;MJ/m²;0.4;mm
Weather_recording;1;Kannemoor;2000-04-20;15;11.0;°C;17.0;°C;NA;°C;0.0;mm;19.4;MJ/m²;3.2;mm
Weather_recording;1;Kannemoor;2000-04-21;16;10.0;°C;19.0;°C;NA;°C;0.0;mm;18.1;MJ/m²;1.8;mm
Weather_recording;1;Kannemoor;2000-04-22;17;12.0;°C;20.0;°C;NA;°C;14.0;mm;16.6;MJ/m²;2.9;mm
Weather_recording;1;Kannemoor;2000-04-23;18;12.0;°C;18.0;°C;NA;°C;4.0;mm;12.9;MJ/m²;1.1;mm
Weather_recording;1;Kannemoor;2000-04-24;19;6.0;°C;13.0;°C;NA;°C;6.0;mm;2.7;MJ/m²;0.3;mm
Weather_recording;1;Kannemoor;2000-04-25;20;6.0;°C;18.0;°C;NA;°C;0.0;mm;21.1;MJ/m²;2.9;mm
Weather_recording;1;Kannemoor;2000-04-26;21;10.0;°C;21.0;°C;NA;°C;4.0;mm;23.7;MJ/m²;3.0;mm
Weather_recording;1;Kannemoor;2000-04-27;22;12.0;°C;21.0;°C;NA;°C;0.0;mm;21.0;MJ/m²;3.0;mm
Weather_recording;1;Kannemoor;2000-04-28;23;14.0;°C;25.0;°C;NA;°C;0.0;mm;17.3;MJ/m²;4.1;mm
Weather_recording;1;Kannemoor;2000-04-29;24;12.0;°C;27.0;°C;NA;°C;0.0;mm;20.4;MJ/m²;4.2;mm
Weather_recording;1;Kannemoor;2000-04-30;25;12.0;°C;19.0;°C;NA;°C;0.0;mm;6.6;MJ/m²;0.7;mm
Weather_recording;1;Kannemoor;2000-05-01;26;9.0;°C;17.0;°C;NA;°C;0.0;mm;12.5;MJ/m²;0.8;mm
Weather_recording;1;Kannemoor;2000-05-02;27;10.0;°C;18.0;°C;NA;°C;1.0;mm;17.0;MJ/m²;0.7;mm
Weather_recording;1;Kannemoor;2000-05-03;28;12.0;°C;20.0;°C;NA;°C;0.0;mm;24.5;MJ/m²;4.6;mm
Weather_recording;1;Kannemoor;2000-05-04;29;9.0;°C;22.0;°C;NA;°C;0.0;mm;23.1;MJ/m²;4.6;mm
Weather_recording;1;Kannemoor;2000-05-05;30;10.0;°C;23.0;°C;NA;°C;0.0;mm;25.5;MJ/m²;4.5;mm
Weather_recording;1;Kannemoor;2000-05-06;31;10.0;°C;22.0;°C;NA;°C;0.0;mm;26.1;MJ/m²;3.8;mm
Weather_recording;1;Kannemoor;2000-05-07;32;9.0;°C;23.0;°C;NA;°C;0.0;mm;24.9;MJ/m²;3.3;mm
Weather_recording;1;Kannemoor;2000-05-08;33;10.0;°C;24.0;°C;NA;°C;0.0;mm;25.2;MJ/m²;4.0;mm
Weather_recording;1;Kannemoor;2000-05-09;34;10.0;°C;27.0;°C;NA;°C;0.0;mm;25.1;MJ/m²;5.4;mm
Weather_recording;1;Kannemoor;2000-05-10;35;10.0;°C;25.0;°C;NA;°C;0.0;mm;26.4;MJ/m²;5.7;mm
Weather_recording;1;Kannemoor;2000-05-11;36;11.0;°C;24.0;°C;NA;°C;0.0;mm;26.2;MJ/m²;3.5;mm
Weather_recording;1;Kannemoor;2000-05-12;37;9.0;°C;20.0;°C;NA;°C;0.0;mm;27.5;MJ/m²;4.2;mm
Weather_recording;1;Kannemoor;2000-05-13;38;8.0;°C;23.0;°C;NA;°C;0.0;mm;27.4;MJ/m²;4.5;mm
Weather_recording;1;Kannemoor;2000-05-14;39;8.0;°C;25.0;°C;NA;°C;0.0;mm;27.4;MJ/m²;5.8;mm
Weather_recording;1;Kannemoor;2000-05-15;40;14.0;°C;29.0;°C;NA;°C;0.0;mm;27.2;MJ/m²;7.0;mm
Weather_recording;1;Kannemoor;2000-05-16;41;16.0;°C;31.0;°C;NA;°C;2.0;mm;23.6;MJ/m²;7.0;mm
Weather_recording;1;Kannemoor;2000-05-17;42;10.0;°C;20.0;°C;NA;°C;4.0;mm;12.6;MJ/m²;0.9;mm
Weather_recording;1;Kannemoor;2000-05-18;43;9.0;°C;21.0;°C;NA;°C;2.0;mm;13.1;MJ/m²;2.2;mm
Weather_recording;1;Kannemoor;2000-05-19;44;11.0;°C;19.0;°C;NA;°C;4.0;mm;14.7;MJ/m²;0.6;mm
Weather_recording;1;Kannemoor;2000-05-20;45;8.0;°C;16.0;°C;NA;°C;0.0;mm;12.1;MJ/m²;1.7;mm
Weather_recording;1;Kannemoor;2000-05-21;46;8.0;°C;18.0;°C;NA;°C;0.0;mm;14.2;MJ/m²;1.9;mm
Weather_recording;1;Kannemoor;2000-05-22;47;6.0;°C;17.0;°C;NA;°C;0.0;mm;20.3;MJ/m²;2.5;mm
Weather_recording;1;Kannemoor;2000-05-23;48;14.0;°C;23.0;°C;NA;°C;9.0;mm;20.9;MJ/m²;3.5;mm
Weather_recording;1;Kannemoor;2000-05-24;49;12.0;°C;17.0;°C;NA;°C;8.0;mm;9.7;MJ/m²;1.7;mm
Weather_recording;1;Kannemoor;2000-05-25;50;10.0;°C;18.0;°C;NA;°C;4.0;mm;8.6;MJ/m²;1.6;mm
Weather_recording;1;Kannemoor;2000-05-26;51;12.0;°C;19.0;°C;NA;°C;2.0;mm;24.5;MJ/m²;2.7;mm
Weather_recording;1;Kannemoor;2000-05-27;52;8.0;°C;18.0;°C;NA;°C;0.0;mm;13.3;MJ/m²;1.8;mm
Weather_recording;1;Kannemoor;2000-05-28;53;8.0;°C;18.0;°C;NA;°C;12.0;mm;13.5;MJ/m²;0.7;mm
Weather_recording;1;Kannemoor;2000-05-29;54;9.0;°C;18.0;°C;NA;°C;10.0;mm;11.7;MJ/m²;0.7;mm
Weather_recording;1;Kannemoor;2000-05-30;55;4.0;°C;18.0;°C;NA;°C;2.0;mm;19.5;MJ/m²;2.0;mm
Weather_recording;1;Kannemoor;2000-05-31;56;10.0;°C;17.0;°C;NA;°C;0.0;mm;29.3;MJ/m²;2.8;mm
Weather_recording;1;Kannemoor;2000-06-01;57;15.0;°C;21.0;°C;NA;°C;2.0;mm;12.6;MJ/m²;2.3;mm
Weather_recording;1;Kannemoor;2000-06-02;58;13.0;°C;20.0;°C;NA;°C;0.0;mm;20.5;MJ/m²;1.1;mm
Weather_recording;1;Kannemoor;2000-06-03;59;10.0;°C;22.0;°C;NA;°C;3.0;mm;17.0;MJ/m²;2.1;mm
Weather_recording;1;Kannemoor;2000-06-04;60;8.0;°C;19.0;°C;NA;°C;0.0;mm;15.4;MJ/m²;0.8;mm
Weather_recording;1;Kannemoor;2000-06-05;61;10.0;°C;24.0;°C;NA;°C;16.0;mm;12.0;MJ/m²;2.1;mm
Weather_recording;1;Kannemoor;2000-06-06;62;10.0;°C;14.0;°C;NA;°C;6.0;mm;5.4;MJ/m²;0.6;mm
Weather_recording;1;Kannemoor;2000-06-07;63;11.0;°C;18.0;°C;NA;°C;2.0;mm;14.2;MJ/m²;1.3;mm
Weather_recording;1;Kannemoor;2000-06-08;64;10.0;°C;20.0;°C;NA;°C;0.0;mm;23.4;MJ/m²;3.1;mm
Weather_recording;1;Kannemoor;2000-06-09;65;17.0;°C;26.0;°C;NA;°C;0.0;mm;29.5;MJ/m²;5.0;mm
Weather_recording;1;Kannemoor;2000-06-10;66;15.0;°C;28.0;°C;NA;°C;0.0;mm;27.2;MJ/m²;2.1;mm
Weather_recording;1;Kannemoor;2000-06-11;67;15.0;°C;23.0;°C;NA;°C;0.0;mm;22.7;MJ/m²;3.3;mm
Weather_recording;1;Kannemoor;2000-06-12;68;14.0;°C;22.0;°C;NA;°C;0.0;mm;17.0;MJ/m²;1.8;mm
Weather_recording;1;Kannemoor;2000-06-13;69;15.0;°C;25.0;°C;NA;°C;0.0;mm;24.4;MJ/m²;0.7;mm
Weather_recording;1;Kannemoor;2000-06-14;70;12.0;°C;21.0;°C;NA;°C;6.0;mm;8.0;MJ/m²;1.3;mm
Weather_recording;1;Kannemoor;2000-06-15;71;11.0;°C;21.0;°C;NA;°C;0.0;mm;17.4;MJ/m²;2.1;mm
Weather_recording;1;Kannemoor;2000-06-16;72;12.0;°C;22.0;°C;NA;°C;0.0;mm;20.7;MJ/m²;2.1;mm
Weather_recording;1;Kannemoor;2000-06-17;73;12.0;°C;24.0;°C;NA;°C;0.0;mm;29.8;MJ/m²;2.0;mm
Weather_recording;1;Kannemoor;2000-06-18;74;14.0;°C;26.0;°C;NA;°C;0.0;mm;25.9;MJ/m²;3.2;mm
Weather_recording;1;Kannemoor;2000-06-19;75;19.0;°C;34.0;°C;NA;°C;0.0;mm;28.5;MJ/m²;7.0;mm
Weather_recording;1;Kannemoor;2000-06-20;76;21.0;°C;35.0;°C;NA;°C;0.0;mm;26.3;MJ/m²;6.7;mm
Weather_recording;1;Kannemoor;2000-06-21;77;17.0;°C;31.0;°C;NA;°C;9.0;mm;NA;MJ/m²;2.2;mm
Weather_recording;1;Kannemoor;2000-06-22;78;17.0;°C;25.0;°C;NA;°C;1.0;mm;11.9;MJ/m²;2.7;mm
Weather_recording;1;Kannemoor;2000-06-23;79;15.0;°C;25.0;°C;NA;°C;3.0;mm;17.1;MJ/m²;2.0;mm
Weather_recording;1;Kannemoor;2000-06-24;80;11.0;°C;22.0;°C;NA;°C;14.0;mm;12.5;MJ/m²;0.9;mm
Weather_recording;1;Kannemoor;2000-06-25;81;11.0;°C;18.0;°C;NA;°C;10.0;mm;6.6;MJ/m²;1.0;mm
Weather_recording;1;Kannemoor;2000-06-26;82;11.0;°C;14.0;°C;NA;°C;1.0;mm;12.5;MJ/m²;1.2;mm
Weather_recording;1;Kannemoor;2000-06-27;83;10.0;°C;17.0;°C;NA;°C;2.0;mm;17.2;MJ/m²;2.0;mm
Weather_recording;1;Kannemoor;2000-06-28;84;10.0;°C;14.0;°C;NA;°C;4.0;mm;11.1;MJ/m²;0.3;mm
Weather_recording;1;Kannemoor;2000-06-29;85;10.0;°C;18.0;°C;NA;°C;6.0;mm;7.3;MJ/m²;0.9;mm
Weather_recording;1;Kannemoor;2000-06-30;86;13.0;°C;18.0;°C;NA;°C;0.0;mm;10.1;MJ/m²;1.5;mm
Weather_recording;1;Kannemoor;2000-07-01;87;13.0;°C;20.0;°C;NA;°C;0.0;mm;17.5;MJ/m²;1.5;mm
Weather_recording;1;Kannemoor;2000-07-02;88;14.0;°C;24.0;°C;NA;°C;0.0;mm;24.4;MJ/m²;2.2;mm
Weather_recording;1;Kannemoor;2000-07-03;89;16.0;°C;28.0;°C;NA;°C;0.0;mm;20.9;MJ/m²;3.9;mm
Weather_recording;1;Kannemoor;2000-07-04;90;15.0;°C;26.0;°C;NA;°C;0.0;mm;20.3;MJ/m²;2.7;mm
Weather_recording;1;Kannemoor;2000-07-05;91;11.0;°C;24.0;°C;NA;°C;0.0;mm;20.5;MJ/m²;2.6;mm
Weather_recording;1;Kannemoor;2000-07-06;92;13.0;°C;18.0;°C;NA;°C;0.0;mm;11.8;MJ/m²;1.6;mm
Weather_recording;1;Kannemoor;2000-07-07;93;10.0;°C;19.0;°C;NA;°C;0.0;mm;14.3;MJ/m²;2.5;mm
Weather_recording;1;Kannemoor;2000-07-08;94;11.0;°C;20.0;°C;NA;°C;2.0;mm;13.6;MJ/m²;1.4;mm
Weather_recording;1;Kannemoor;2000-07-09;95;10.0;°C;18.0;°C;NA;°C;3.0;mm;6.3;MJ/m²;0.8;mm
Weather_recording;1;Kannemoor;2000-07-10;96;13.0;°C;21.0;°C;NA;°C;7.0;mm;13.5;MJ/m²;0.9;mm
Weather_recording;1;Kannemoor;2000-07-11;97;14.0;°C;21.0;°C;NA;°C;3.0;mm;NA;MJ/m²;1.5;mm
Weather_recording;1;Kannemoor;2000-07-12;98;13.0;°C;18.0;°C;NA;°C;3.0;mm;7.9;MJ/m²;1.2;mm
Weather_recording;1;Kannemoor;2000-07-13;99;12.0;°C;21.0;°C;NA;°C;4.0;mm;18.3;MJ/m²;2.2;mm
Weather_recording;1;Kannemoor;2000-07-14;100;12.0;°C;18.0;°C;NA;°C;4.0;mm;11.9;MJ/m²;1.7;mm
Weather_recording;1;Kannemoor;2000-07-15;101;13.0;°C;20.0;°C;NA;°C;1.0;mm;16.5;MJ/m²;1.7;mm
Weather_recording;1;Kannemoor;2000-07-16;102;13.0;°C;21.0;°C;NA;°C;0.0;mm;22.4;MJ/m²;2.6;mm
Weather_recording;1;Kannemoor;2000-07-17;103;13.0;°C;20.0;°C;NA;°C;1.0;mm;7.1;MJ/m²;0.9;mm
Weather_recording;1;Kannemoor;2000-07-18;104;13.0;°C;20.0;°C;NA;°C;1.0;mm;7.0;MJ/m²;1.6;mm
Weather_recording;1;Kannemoor;2000-07-19;105;13.0;°C;16.0;°C;NA;°C;2.0;mm;7.0;MJ/m²;0.7;mm
Weather_recording;1;Kannemoor;2000-07-20;106;14.0;°C;18.0;°C;NA;°C;0.0;mm;9.2;MJ/m²;1.2;mm
Weather_recording;1;Kannemoor;2000-07-21;107;12.0;°C;22.0;°C;NA;°C;0.0;mm;12.5;MJ/m²;1.1;mm
Weather_recording;1;Kannemoor;2000-07-22;108;13.0;°C;25.0;°C;NA;°C;2.0;mm;17.1;MJ/m²;2.3;mm
